event_id,time,angle,pol_x,pol_y,pol_z,energy
284,2.696366,16.941769,-0.330648,0.000000,-0.943754,30.000000
285,2.716590,17.068836,-0.208386,0.000000,-0.978047,30.000000
286,2.756981,17.322623,0.043850,0.000000,-0.999038,30.000000
287,2.757667,17.326931,0.048153,0.000000,-0.998840,30.000000
288,2.760736,17.346215,0.067404,0.000000,-0.997726,30.000000
289,2.770885,17.409981,0.130845,0.000000,-0.991403,30.000000
290,2.779626,17.464905,0.185072,0.000000,-0.982725,30.000000
291,2.818390,17.708466,0.416604,0.000000,-0.909088,30.000000
292,2.861689,17.980525,0.645567,0.000000,-0.763703,30.000000
293,2.862592,17.986195,0.649887,0.000000,-0.760031,30.000000
294,2.869692,18.030810,0.683137,0.000000,-0.730290,30.000000
295,2.871504,18.042189,0.691403,0.000000,-0.722469,30.000000
296,2.880232,18.097031,0.729965,0.000000,-0.683484,30.000000
297,2.893145,18.178166,0.782958,0.000000,-0.622075,30.000000
298,2.893313,18.179225,0.783616,0.000000,-0.621246,30.000000
299,2.910727,18.288636,0.846766,0.000000,-0.531965,30.000000
300,2.912815,18.301757,0.853673,0.000000,-0.520810,30.000000
301,2.923881,18.371283,0.887791,0.000000,-0.460247,30.000000
302,2.929609,18.407276,0.903778,0.000000,-0.428001,30.000000
303,2.934798,18.439881,0.917250,0.000000,-0.398312,30.000000
304,2.955558,18.570321,0.961266,0.000000,-0.275621,30.000000
305,2.972759,18.678397,0.985388,0.000000,-0.170324,30.000000
306,2.975186,18.693643,0.987870,0.000000,-0.155282,30.000000
307,2.987291,18.769704,0.996813,0.000000,-0.079767,30.000000
308,2.994987,18.818061,0.999504,0.000000,-0.031490,30.000000
309,3.002139,18.862997,0.999910,0.000000,0.013441,30.000000
310,3.011100,18.919299,0.997569,0.000000,0.069687,30.000000
311,3.018979,18.968804,0.992898,0.000000,0.118965,30.000000
312,3.020016,18.975318,0.992102,0.000000,0.125431,30.000000
313,3.023336,18.996181,0.989270,0.000000,0.146100,30.000000
314,3.042855,19.118822,0.963966,0.000000,0.266024,30.000000
315,3.054007,19.188890,0.942977,0.000000,0.332859,30.000000
316,3.066585,19.267922,0.913754,0.000000,0.406268,30.000000
317,3.087646,19.400251,0.852161,0.000000,0.523279,30.000000
318,3.110140,19.541589,0.769950,0.000000,0.638104,30.000000
319,3.114111,19.566536,0.753794,0.000000,0.657111,30.000000
320,3.116608,19.582224,0.743392,0.000000,0.668856,30.000000
321,3.116852,19.583760,0.742364,0.000000,0.669997,30.000000
322,3.153410,19.813460,0.570317,0.000000,0.821424,30.000000
323,3.154576,19.820788,0.564283,0.000000,0.825582,30.000000
324,3.154960,19.823197,0.562292,0.000000,0.826938,30.000000
325,3.158962,19.848343,0.541322,0.000000,0.840815,30.000000
326,3.161472,19.864112,0.527997,0.000000,0.849246,30.000000
327,3.174473,19.945804,0.456937,0.000000,0.889499,30.000000
328,3.175048,19.949416,0.453721,0.000000,0.891144,30.000000
329,3.176180,19.956530,0.447370,0.000000,0.894349,30.000000
330,3.191321,20.051662,0.360394,0.000000,0.932800,30.000000
331,3.193440,20.064978,0.347941,0.000000,0.937516,30.000000
332,3.206899,20.149538,0.267516,0.000000,0.963553,30.000000
333,3.260459,20.486066,-0.065666,0.000000,0.997842,30.000000
334,3.280975,20.614976,-0.193398,0.000000,0.981120,30.000000
335,3.290703,20.676099,-0.252968,0.000000,0.967475,30.000000
336,3.291570,20.681545,-0.258233,0.000000,0.966083,30.000000
337,3.297201,20.716926,-0.292245,0.000000,0.956343,30.000000
338,3.300620,20.738410,-0.312722,0.000000,0.949845,30.000000
339,3.305561,20.769449,-0.342050,0.000000,0.939682,30.000000
340,3.306662,20.776368,-0.348542,0.000000,0.937293,30.000000
341,3.320733,20.864781,-0.429942,0.000000,0.902857,30.000000
342,3.324291,20.887136,-0.450016,0.000000,0.893020,30.000000
343,3.333414,20.944459,-0.500440,0.000000,0.865771,30.000000
344,3.345249,21.018816,-0.563374,0.000000,0.826202,30.000000
345,3.357786,21.097595,-0.626646,0.000000,0.779304,30.000000
346,3.357955,21.098651,-0.627470,0.000000,0.778641,30.000000
347,3.362376,21.126429,-0.648853,0.000000,0.760913,30.000000
348,3.367283,21.157262,-0.672002,0.000000,0.740549,30.000000
349,3.374465,21.202387,-0.704725,0.000000,0.709481,30.000000
350,3.376957,21.218046,-0.715748,0.000000,0.698359,30.000000
351,3.378967,21.230676,-0.724510,0.000000,0.689264,30.000000
352,3.380396,21.239652,-0.730668,0.000000,0.682733,30.000000
353,3.386733,21.279472,-0.757268,0.000000,0.653104,30.000000
354,3.391777,21.311166,-0.777584,0.000000,0.628780,30.000000
355,3.403227,21.383105,-0.820767,0.000000,0.571263,30.000000
356,3.404414,21.390564,-0.825005,0.000000,0.565125,30.000000
357,3.410011,21.425728,-0.844363,0.000000,0.535771,30.000000
358,3.417462,21.472547,-0.868513,0.000000,0.495666,30.000000
359,3.421131,21.495598,-0.879707,0.000000,0.475516,30.000000
360,3.423841,21.512628,-0.887677,0.000000,0.460466,30.000000
361,3.425464,21.522825,-0.892326,0.000000,0.451391,30.000000
362,3.432839,21.569165,-0.912278,0.000000,0.409571,30.000000
363,3.450354,21.679213,-0.951741,0.000000,0.306901,30.000000
364,3.466193,21.778732,-0.977524,0.000000,0.210823,30.000000
365,3.471960,21.814965,-0.984520,0.000000,0.175273,30.000000
366,3.481783,21.876685,-0.993456,0.000000,0.114214,30.000000
367,3.508951,22.047391,-0.998419,0.000000,-0.056213,30.000000
368,3.510995,22.060233,-0.997615,0.000000,-0.069030,30.000000
369,3.517496,22.101076,-0.993964,0.000000,-0.109706,30.000000
370,3.535475,22.214044,-0.975262,0.000000,-0.221054,30.000000
371,3.535751,22.215779,-0.974877,0.000000,-0.222746,30.000000
372,3.543206,22.262622,-0.963377,0.000000,-0.268151,30.000000
373,3.549994,22.305271,-0.951068,0.000000,-0.308982,30.000000
374,3.566956,22.411845,-0.912805,0.000000,-0.408396,30.000000
375,3.598683,22.611192,-0.813853,0.000000,-0.581071,30.000000
376,3.622157,22.758684,-0.719624,0.000000,-0.694364,30.000000
377,3.650943,22.939549,-0.582983,0.000000,-0.812484,30.000000
378,3.654103,22.959406,-0.566736,0.000000,-0.823899,30.000000
379,3.658792,22.988867,-0.542221,0.000000,-0.840236,30.000000
380,3.670740,23.063938,-0.477676,0.000000,-0.878536,30.000000
381,3.676224,23.098399,-0.447123,0.000000,-0.894473,30.000000
382,3.681653,23.132509,-0.416358,0.000000,-0.909201,30.000000
383,3.683549,23.144423,-0.405497,0.000000,-0.914096,30.000000
384,3.688546,23.175817,-0.376605,0.000000,-0.926374,30.000000
385,3.710446,23.313422,-0.245972,0.000000,-0.969277,30.000000
386,3.749045,23.555943,-0.006002,0.000000,-0.999982,30.000000
387,3.749318,23.557660,-0.004285,0.000000,-0.999991,30.000000
388,3.752790,23.579473,0.017527,0.000000,-0.999846,30.000000
389,3.761337,23.633174,0.071169,0.000000,-0.997464,30.000000
390,3.778266,23.739543,0.176666,0.000000,-0.984271,30.000000
391,3.808929,23.932204,0.361857,0.000000,-0.932234,30.000000
392,3.811960,23.951249,0.379545,0.000000,-0.925173,30.000000
393,3.814219,23.965442,0.392637,0.000000,-0.919693,30.000000
394,3.829916,24.064074,0.481293,0.000000,-0.876560,30.000000
395,3.855211,24.223008,0.613956,0.000000,-0.789340,30.000000
396,3.855951,24.227652,0.617615,0.000000,-0.786480,30.000000
397,3.858789,24.245489,0.631545,0.000000,-0.775340,30.000000
398,3.865748,24.289212,0.664831,0.000000,-0.746994,30.000000
399,3.874349,24.343255,0.704210,0.000000,-0.709991,30.000000
400,3.874756,24.345810,0.706022,0.000000,-0.708190,30.000000
401,3.895799,24.478026,0.793222,0.000000,-0.608933,30.000000
402,3.900994,24.510666,0.812671,0.000000,-0.582723,30.000000
403,3.901861,24.516117,0.815836,0.000000,-0.578284,30.000000
404,3.902552,24.520458,0.818338,0.000000,-0.574738,30.000000
405,3.907384,24.550821,0.835409,0.000000,-0.549629,30.000000
406,3.910815,24.572374,0.847060,0.000000,-0.531497,30.000000
407,3.925087,24.662052,0.891256,0.000000,-0.453501,30.000000
408,3.937116,24.737628,0.922953,0.000000,-0.384913,30.000000
409,3.937120,24.737656,0.922964,0.000000,-0.384887,30.000000
410,3.938326,24.745233,0.925853,0.000000,-0.377883,30.000000
411,3.938489,24.746256,0.926240,0.000000,-0.376935,30.000000
412,3.945615,24.791028,0.942182,0.000000,-0.335102,30.000000
413,3.956678,24.860542,0.963182,0.000000,-0.268850,30.000000
414,3.977482,24.991254,0.990007,0.000000,-0.141015,30.000000
415,3.991510,25.079398,0.998578,0.000000,-0.053318,30.000000
416,3.992595,25.086216,0.998918,0.000000,-0.046508,30.000000
417,3.999802,25.131496,0.999999,0.000000,-0.001245,30.000000
418,4.005324,25.166190,0.999441,0.000000,0.033442,30.000000
419,4.006160,25.171443,0.999251,0.000000,0.038692,30.000000
